ImageId,Labels
1,6
2,3
3,8
4,9
5,6
6,3
7,1
8,1
9,5
10,5
11,2
12,5
13,0
14,5
15,2
16,1
17,9
18,5
19,2
20,8
21,6
22,3
23,8
24,8
25,1
26,6
27,5
28,8
29,5
30,0
31,9
32,4
33,9
34,3
35,4
36,4
37,3
38,4
39,7
40,4
41,4
42,8
43,3
44,9
45,7
46,9
47,9
48,9
49,7
50,7
51,0
52,8
53,6
54,1
55,0
56,6
57,1
58,3
59,9
60,6
61,4
62,7
63,1
64,3
65,7
66,9
67,1
68,9
69,4
70,8
71,0
72,1
73,0
74,9
75,6
76,6
77,0
78,5
79,4
80,5
81,3
82,0
83,6
84,1
85,1
86,5
87,9
88,0
89,9
90,7
91,0
92,0
93,4
94,0
95,2
96,3
97,7
98,7
99,8
100,7
101,1
102,2
103,7
104,2
105,7
106,3
107,3
108,3
109,4
110,0
111,0
112,1
113,4
114,8
115,2
116,8
117,7
118,2
119,8
120,6
121,7
122,1
123,3
124,5
125,6
126,5
127,1
128,9
129,7
130,0
131,9
132,4
133,9
134,4
135,2
136,2
137,5
138,9
139,0
140,2
141,8
142,6
143,5
144,1
145,5
146,5
147,9
148,2
149,9
150,0
151,6
152,8
153,2
154,9
155,4
156,4
157,7
158,2
159,5
160,1
161,3
162,5
163,5
164,4
165,4
166,6
167,3
168,4
169,1
170,1
171,3
172,5
173,4
174,6
175,2
176,7
177,9
178,7
179,6
180,2
181,2
182,9
183,1
184,2
185,0
186,8
187,2
188,4
189,7
190,3
191,4
192,3
193,9
194,2
195,8
196,7
197,3
198,1
199,7
200,3
201,1
202,0
203,0
204,8
205,3
206,5
207,4
208,7
209,7
210,7
211,1
212,0
213,0
214,9
215,7
216,6
217,4
218,6
219,2
220,6
221,9
222,9
223,7
224,3
225,4
226,7
227,4
228,0
229,6
230,0
231,2
232,0
233,2
234,2
235,8
236,2
237,7
238,2
239,7
240,6
241,4
242,4
243,6
244,0
245,3
246,4
247,7
248,4
249,3
250,6
251,0
252,4
253,7
254,1
255,5
256,4
257,4
258,7
259,0
260,8
261,3
262,4
263,5
264,5
265,9
266,1
267,4
268,8
269,7
270,9
271,9
272,7
273,8
274,4
275,0
276,3
277,3
278,0
279,1
280,6
281,2
282,2
283,0
284,9
285,2
286,4
287,8
288,5
289,0
290,8
291,2
292,9
293,6
294,0
295,2
296,6
297,6
298,3
299,7
300,7
301,5
302,1
303,5
304,1
305,2
306,7
307,8
308,3
309,6
310,7
311,1
312,8
313,3
314,0
315,6
316,9
317,0
318,4
319,8
320,7
321,3
322,2
323,5
324,5
325,1
326,4
327,6
328,7
329,0
330,0
331,6
332,4
333,8
334,3
335,6
336,5
337,5
338,0
339,3
340,4
341,1
342,3
343,0
344,5
345,6
346,7
347,1
348,4
349,1
350,2
351,4
352,5
353,8
354,6
355,4
356,1
357,3
358,4
359,5
360,9
361,5
362,5
363,7
364,2
365,0
366,7
367,8
368,3
369,9
370,9
371,1
372,7
373,2
374,7
375,3
376,9
377,8
378,0
379,8
380,2
381,2
382,3
383,2
384,2
385,0
386,8
387,3
388,9
389,0
390,6
391,7
392,0
393,6
394,8
395,9
396,9
397,1
398,8
399,7
400,5
401,5
402,4
403,5
404,5
405,9
406,3
407,1
408,1
409,6
410,0
411,5
412,8
413,0
414,3
415,1
416,7
417,0
418,2
419,9
420,8
421,0
422,8
423,4
424,9
425,0
426,4
427,6
428,1
429,1
430,6
431,9
432,5
433,0
434,0
435,9
436,1
437,2
438,2
439,5
440,2
441,8
442,3
443,2
444,3
445,3
446,4
447,5
448,3
449,5
450,4
451,8
452,9
453,4
454,8
455,1
456,0
457,8
458,1
459,7
460,5
461,4
462,6
463,0
464,8
465,9
466,4
467,0
468,2
469,8
470,0
471,4
472,6
473,8
474,5
475,8
476,8
477,0
478,8
479,3
480,9
481,6
482,2
483,6
484,5
485,1
486,8
487,3
488,0
489,6
490,1
491,3
492,3
493,0
494,0
495,7
496,0
497,2
498,2
499,5
500,3
501,9
502,8
503,5
504,9
505,5
506,7
507,4
508,8
509,5
510,3
511,3
512,5
513,8
514,3
515,7
516,1
517,5
518,8
519,8
520,6
521,3
522,4
523,8
524,8
525,4
526,4
527,1
528,1
529,4
530,4
531,7
532,0
533,7
534,3
535,9
536,7
537,9
538,9
539,6
540,9
541,4
542,5
543,9
544,6
545,3
546,1
547,9
548,1
549,1
550,2
551,5
552,3
553,9
554,3
555,5
556,8
557,9
558,3
559,6
560,2
561,2
562,6
563,8
564,2
565,0
566,7
567,4
568,1
569,3
570,2
571,0
572,0
573,0
574,6
575,8
576,4
577,6
578,7
579,9
580,2
581,3
582,9
583,5
584,7
585,2
586,0
587,1
588,4
589,5
590,5
591,3
592,9
593,9
594,6
595,4
596,6
597,0
598,2
599,9
600,6
601,7
602,8
603,0
604,9
605,6
606,1
607,1
608,3
609,0
610,3
611,1
612,6
613,7
614,1
615,8
616,8
617,4
618,2
619,8
620,9
621,8
622,3
623,7
624,8
625,4
626,0
627,2
628,9
629,3
630,6
631,5
632,1
633,9
634,4
635,9
636,4
637,1
638,3
639,4
640,7
641,7
642,6
643,7
644,1
645,1
646,4
647,6
648,7
649,0
650,7
651,7
652,3
653,9
654,3
655,0
656,7
657,7
658,7
659,7
660,9
661,1
662,5
663,1
664,1
665,7
666,0
667,5
668,6
669,5
670,6
671,9
672,9
673,0
674,5
675,5
676,7
677,4
678,0
679,2
680,2
681,3
682,3
683,3
684,6
685,7
686,1
687,7
688,6
689,8
690,8
691,7
692,3
693,8
694,0
695,4
696,7
697,5
698,1
699,3
700,8
701,3
702,7
703,7
704,3
705,5
706,9
707,9
708,3
709,2
710,8
711,0
712,0
713,7
714,3
715,6
716,0
717,9
718,3
719,7
720,4
721,8
722,7
723,9
724,3
725,8
726,5
727,5
728,3
729,2
730,9
731,4
732,0
733,6
734,0
735,3
736,3
737,3
738,5
739,7
740,6
741,4
742,9
743,3
744,3
745,3
746,5
747,6
748,4
749,3
750,4
751,7
752,9
753,1
754,1
755,7
756,1
757,7
758,4
759,9
760,4
761,7
762,8
763,7
764,7
765,8
766,7
767,3
768,5
769,5
770,1
771,2
772,4
773,7
774,8
775,2
776,5
777,6
778,5
779,5
780,1
781,7
782,8
783,8
784,0
785,9
786,6
787,7
788,3
789,3
790,1
791,1
792,9
793,9
794,8
795,9
796,2
797,3
798,3
799,6
800,3
801,9
802,4
803,4
804,9
805,2
806,5
807,5
808,6
809,3
810,1
811,0
812,0
813,8
814,3
815,8
816,3
817,5
818,7
819,2
820,4
821,7
822,0
823,6
824,9
825,7
826,9
827,1
828,3
829,3
830,5
831,8
832,9
833,4
834,3
835,1
836,4
837,8
838,2
839,8
840,9
841,3
842,9
843,9
844,1
845,7
846,7
847,8
848,7
849,1
850,2
851,9
852,3
853,6
854,7
855,1
856,6
857,5
858,4
859,6
860,2
861,3
862,5
863,6
864,9
865,4
866,2
867,6
868,1
869,9
870,3
871,6
872,4
873,4
874,0
875,2
876,2
877,4
878,4
879,5
880,2
881,8
882,6
883,7
884,5
885,3
886,5
887,5
888,5
889,1
890,3
891,2
892,6
893,1
894,6
895,0
896,4
897,3
898,3
899,8
900,7
901,9
902,7
903,1
904,4
905,7
906,0
907,5
908,2
909,7
910,6
911,6
912,2
913,6
914,6
915,6
916,7
917,8
918,6
919,3
920,1
921,7
922,2
923,2
924,2
925,8
926,2
927,7
928,0
929,6
930,7
931,0
932,6
933,9
934,7
935,0
936,2
937,2
938,4
939,2
940,7
941,7
942,1
943,0
944,2
945,1
946,8
947,8
948,1
949,7
950,1
951,6
952,0
953,3
954,2
955,5
956,3
957,8
958,6
959,3
960,0
961,6
962,4
963,7
964,1
965,7
966,8
967,9
968,7
969,5
970,6
971,6
972,9
973,5
974,6
975,2
976,5
977,6
978,2
979,8
980,3
981,6
982,1
983,8
984,2
985,2
986,0
987,9
988,5
989,0
990,8
991,6
992,1
993,4
994,0
995,2
996,8
997,9
998,1
999,1
1000,1
1001,7
1002,4
1003,0
1004,8
1005,0
1006,5
1007,2
1008,9
1009,1
1010,6
1011,9
1012,1
1013,6
1014,1
1015,0
1016,8
1017,7
1018,2
1019,5
1020,1
1021,9
1022,9
1023,9
1024,3
1025,6
1026,1
1027,6
1028,5
1029,6
1030,0
1031,5
